StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q12,Q9,Q4,Q3,Q7,Q9,Q8,Q10,Q11
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID4""}","{""ImportId"":""QID3""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9""}","{""ImportId"":""QID8""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}"
2/9/23 16:01,2/9/23 16:03,IP Address,107.115.171.38,100,106,TRUE,2/9/23 16:03,R_21mNauZw65kZd89,,,,,32.7889,-96.8021,anonymous,EN,name1,email1,Definitely yes,MS in Computer Science,2022,"Programming Languages,Software Engineering,Databases and Data Mining","Joining student organizations,Making new friends,Becoming a TA or IA",Large-company industry position,Python,"Cooking,Sports,Movies"
2/9/23 16:01,2/9/23 16:03,IP Address,35.150.38.135,100,90,TRUE,2/9/23 16:03,R_3EGXjaCYbhnwTet,,,,,33.2205,-97.1294,anonymous,EN,name2,email2,Definitely yes,MS in Computer Science,2023,"Artificial Intelligence,Human-Computer Interaction,Networks,Cybersecurity,Data Science,Software Engineering,Databases and Data Mining","Joining student organizations,Making new friends,Becoming a TA or IA","Large-company industry position,Startup scene",Python,"Cooking,Movies,Reading"
2/9/23 16:01,2/9/23 16:03,IP Address,47.186.206.228,100,118,TRUE,2/9/23 16:03,R_1DvXnY0tdtGi76V,,,,,33.238,-97.1134,anonymous,EN,name3,email3,Definitely yes,MS in Computer Science,2023,"Artificial Intelligence,Human-Computer Interaction,Cybersecurity,Data Science,Programming Languages,Software Engineering,Databases and Data Mining,Computer Vision","Joining student organizations,Making new friends,Becoming a TA or IA","Large-company industry position,Startup scene",Java,"Cooking,Sports,Movies,Reading"
2/9/23 16:02,2/9/23 16:03,IP Address,172.58.96.80,100,88,TRUE,2/9/23 16:03,R_1FbPkJKTAe3X8jD,,,,,32.7797,-96.8022,anonymous,EN,name4,email4,Definitely yes,MS in Computer Science,2023,"Artificial Intelligence,Human-Computer Interaction,Data Science,Software Engineering,Databases and Data Mining","Joining student organizations,Making new friends,Joining a research lab,Becoming a TA or IA",Large-company industry position,Python,"Cooking,Sports,Gaming,Movies,Reading"
2/9/23 16:02,2/9/23 16:03,IP Address,129.120.67.51,100,89,TRUE,2/9/23 16:03,R_1Dp3kEne1wtR3uw,,,,,33.2205,-97.1294,anonymous,EN,name5,email5,Definitely yes,MS in Artificial Intelligence,2023,"Artificial Intelligence,Cybersecurity,Data Science,Software Engineering,Databases and Data Mining,Computer Vision","Joining student organizations,Making new friends,Entrepreneurship / starting your own company,Becoming a TA or IA","Large-company industry position,Startup scene",Python,"Cooking,Sports,Gaming,Movies,Reading"
2/9/23 16:01,2/9/23 16:03,IP Address,172.58.108.140,100,115,TRUE,2/9/23 16:03,R_25tkU8QkP2BJeHF,,,,,32.8008,-96.7884,anonymous,EN,name6,email6,Definitely yes,MS in Artificial Intelligence,2021,"Artificial Intelligence,Human-Computer Interaction,Data Science,Computer Vision","Making new friends,Joining a research lab,Becoming a TA or IA","Continue to PhD,Large-company industry position,Industry research position",Python,"Cooking,Reading"
2/9/23 16:02,2/9/23 16:03,IP Address,129.120.67.51,100,76,TRUE,2/9/23 16:03,R_40bs8Pf02kJdUlz,,,,,33.2205,-97.1294,anonymous,EN,name7,email7,Definitely yes,MS in Computer Science,2023,"Artificial Intelligence,Computer Graphics and Data Visualization,Data Science,Software Engineering,Databases and Data Mining","Joining student organizations,Joining a research lab,Entrepreneurship / starting your own company,Becoming a TA or IA","Continue to PhD,Large-company industry position,Industry research position",Python,"Sports,Reading"
2/9/23 16:02,2/9/23 16:03,IP Address,47.42.115.9,100,115,TRUE,2/9/23 16:03,R_1ONwiGMc5NDT4RX,,,,,32.9275,-97.2512,anonymous,EN,name8,email8,Definitely yes,MS in Computer Science,2021,"Artificial Intelligence,Human-Computer Interaction,Programming Languages,Software Engineering","Joining student organizations,Making new friends","Continue to PhD,Large-company industry position",Python,"Cooking,Sports,Movies"
2/9/23 16:02,2/9/23 16:03,IP Address,172.58.181.78,100,102,TRUE,2/9/23 16:03,R_2CCELi9Lzqk55mm,,,,,32.8008,-96.7884,anonymous,EN,name9,email9,Definitely yes,MS in Computer Science,2021,"Artificial Intelligence,Networks,Data Science,Programming Languages,Databases and Data Mining","Joining student organizations,Making new friends,Joining a research lab,Entrepreneurship / starting your own company,Becoming a TA or IA","Large-company industry position,Startup scene,Industry research position",Java,"Cooking,Gaming,Movies,Reading"
2/9/23 16:02,2/9/23 16:04,IP Address,129.120.67.51,100,105,TRUE,2/9/23 16:04,R_3nCAfEs8DAJeit3,,,,,33.2205,-97.1294,anonymous,EN,name10,email10,Definitely yes,MS in Computer Science,2023,"Artificial Intelligence,Data Science,Programming Languages,Software Engineering,Databases and Data Mining","Joining student organizations,Making new friends,Joining a research lab,Entrepreneurship / starting your own company,Becoming a TA or IA","Continue to PhD,Large-company industry position,Startup scene",Python,"Sports,Movies"
2/9/23 16:03,2/9/23 16:04,IP Address,107.115.171.38,100,69,TRUE,2/9/23 16:04,R_2BsREyJnYUYDYhS,,,,,32.7889,-96.8021,anonymous,EN,name11,email11,Definitely yes,MS in Computer Science,2022,"Artificial Intelligence,Human-Computer Interaction,Programming Languages,Software Engineering,Systems,Databases and Data Mining","Joining student organizations,Making new friends,Entrepreneurship / starting your own company,Becoming a TA or IA","Large-company industry position,Startup scene",Java,"Sports,Gaming,Movies,Reading"
2/9/23 16:03,2/9/23 16:04,IP Address,108.66.188.240,100,94,TRUE,2/9/23 16:04,R_3n14lHPuFyVYLn4,,,,,32.926,-96.9666,anonymous,EN,name12,email12,Definitely yes,MS in Computer Science,2023,"Artificial Intelligence,Data Science,Programming Languages,Software Engineering","Making new friends,Joining a research lab,Becoming a TA or IA","Continue to PhD,Industry research position",Java,"Cooking,Sports"
2/9/23 16:03,2/9/23 16:04,IP Address,47.186.216.169,100,65,TRUE,2/9/23 16:04,R_1gOd2k4qZzpaO5C,,,,,33.238,-97.1134,anonymous,EN,name13,email13,Definitely yes,MS in Computer Science,2023,"Artificial Intelligence,Human-Computer Interaction,Data Science,Software Engineering","Joining student organizations,Making new friends,Becoming a TA or IA",Large-company industry position,Python,"Sports,Reading"
